Date and time of Verification,Supply,State,District/City,Name of vendor,Contact details,"Preferred mode of contact (voice call, whatsapp, etc)",Links,Misc Data ,"Status (out of stock, working number)"
Na,Food Service,Jammu and Kashmir,Jammu,Free Home Cooked Meal,9906159993,Na,Na,Na,Na
Na,Food Service,Jammu and Kashmir,"Srinagar, Batamaloo",Food Ration,1942482149,Na,Na,Na,Na
Na,Food Service,Jammu and Kashmir,Jammu,Food Helpline,9013151515,Na,Na,Na,Na
Na,Food Service,Jammu and Kashmir,Jammu City,Free Food Langar ,9622088786,Na,Na,Only for Covid Patients,Na
Na,Food Service,Jammu and Kashmir,Jammu,Free Food To Order,9906159993,Na,Na,Free Food,Na
Na,Food Service,Jammu and Kashmir,"Jammu, Greater Kailash",Cloud Kitchen ,9906069111,Na,Na,Free Food,Na
Na,Food Service,Jammu and Kashmir,"Jammu, Greater Kailash",Food Bistro,8899351512 / 8899351513,Na,Na,Na,Na
Na,Food Service,Jammu and Kashmir,Jammu Anand Nagar,Mint Leaf Restaurant ,7298000225 / 9055501708,Na,Na,Na,Na
Na,Food Service,Jammu and Kashmir,"Sector-2, Channi Himmat",Marasim,9682666766 / 9682114669,Na,Na,Food Home Delivery ,Na
Na,Food Service,Jammu and Kashmir,Srinagar,Aarur Dry Fruits Co.,6005705337,Na,Na,Na,Na
Na,Food Service,Jammu and Kashmir,Srinagar,Sheetal Parimoo,7006775049,Na,Na,Na,Na
Na,Food Service,Jammu and Kashmir,Srinagar,Bhagwan Gopinath Trust,9419088919,Na,Na,Na,Na
Na,Food Service,Jammu and Kashmir,Jammu,Tiffin Aww ,9419444700,Na,Na,Home made Food to the Patient who needs,Na
Na,Food Service,Jammu and Kashmir,Jammu,Kps Covid Team,9018025394 / 6005784544,Na,Na,Free Food,Na
Na,Food Service,Jammu and Kashmir,Jammu,Kps Covid Team,8082946959 / 9797213139 / 9697446995,Na,Na,Free Food,Na
Na,Food Service,Jammu and Kashmir,Kashmir ,Sahuliyat Kashmir Voluntary Trust,7006975843,Na,Na,Ration and Oxy Concetrator,Na
Na,Food Service,Jammu and Kashmir,Jammu And Kashmir,Saveamonth Team,8716969698,Na,@Saveamonth team,Free Food,Na
Na,Food Service,Jammu and Kashmir,Jammu,Rakesh Bhat,9419186326,Na,Na,Food delivery services,Na
Na,Food Service,Jammu and Kashmir,Jammu,Sanchita Tiku ,6006505587,Na,Na,Free Food,Na
Na,Food Service,Jammu and Kashmir,Jammu And Kashmir ,Helpline ,9086215620,Na,Na,Small amount of Ration,Na
Na,Food Service,Jammu and Kashmir,Jammu ,Multiple Resources ,9541968180,Na,Na,Na,Na
Na,Food Service,Jammu and Kashmir,"Jammu & Kashmir, Gandhi Nagar, Trikuta Nagar, Channi",Free Food Seva,9419143232,Na,Na,Free food,Na
Na,Food Service,Jammu and Kashmir,Jammu And Kashmir,Given,7006741532,Na,Na,Free Food & Ration,Na
Na,Food Service,Jammu and Kashmir,Jammu And Kashmir ,Raghu Gupta,8716969698,Na,Na,Food & Vegetables,Na
,,Jammu and Kashmir,,,,,,,
Na,Medicine,Jammu and Kashmir,Jammu and Kashmir ,Pharmacy Online,9541968180,Na,Na,Na,Na
Na,Medicine,Jammu and Kashmir,Jammu and Kashmir ,Dr.Vijay Bansal,9357970039 / 8286990006,Na,Na,Na,Na
Na,Medicine,Jammu and Kashmir,Jammu and Kashmir ,Medical Store ,7006456891,Na,Na,Na,Na
Na,Medicine,Jammu and Kashmir,Jammu and Kashmir ,Dr. Akriti Mahajan,9796649660,Na,Na,Free ent tale consultation ,Na
Na,Medicine,Jammu and Kashmir,Sahuliyat Kashmir,Medicine,7006975843,Na,Na,"Nebulizers, Oxymeters ",Na
Na,Medicine,Jammu and Kashmir,"Mattan Chowk, Anantnag",Kanue Medical store,9596909352,Na,Na,Na,Na
Na,Medicine,Jammu and Kashmir,Solina,Chemist & Druggist,9796010303,Na,Na,Na,Na
Na,Medicine,Jammu and Kashmir,Sanat Nagar,Sajjad Medicate,9906710294,Na,Na,Na,Na
Na,Medicine,Jammu and Kashmir,SK Colony,ASG Eye Hospital,1942490212,Na,Na,Na,Na
Na,Medicine,Jammu and Kashmir,Poonch,AL Mehdi Pharmacy,7006363972,Na,Na,Home delivery Medicine ,Na
,,Jammu and Kashmir,,,,,,,
Na,Covid Helpline,Jammu and Kashmir,Jammu & Kashmir,Na,0191-2571912 / 0191-2571616 / 0194-2440283 / 2430581 / 2452052 / 2457313 / 2457312,Na,Na,Na,Na
Na,Medicine,Jammu and Kashmir,Srinagar,Na,0194-2457543,Na,Na,Na,Na
Na,Medicine,Jammu and Kashmir,Kathua,Na,019222-34314,Na,Na,Na,Na
Na,Medicine,Jammu and Kashmir,Anantnag,Na,01932-222255,Na,Na,Na,Na
Na,Medicine,Jammu and Kashmir,Kupwara,Na,01955-253658,Na,Na,Na,Na
Na,Medicine,Jammu and Kashmir,Budgam,Na,0195-1255237,Na,Na,Na,Na
Na,Medicine,Jammu and Kashmir,Kulgam,Na,01931-260388,Na,Na,Na,Na
Na,Medicine,Jammu and Kashmir,Baramulla,Na,01952-351261 / 7889534245,Na,Na,Na,Na
,Hospital,Himachal Pradesh,BILASPUR,Rainbow Hospital,9915001116,,jainand.sharma@gmail.com,,
,Hospital,Himachal Pradesh,BILASPUR,"Ayurvedic Hospital, Kandraur",7807191724,,ayurhospitalkandrour@gmail.com,,
,Hospital,Himachal Pradesh,BILASPUR,"Civil Hospital, Barthin",9418014860,,rsbybtn@gmail.com,,
,Hospital,Himachal Pradesh,BILASPUR,"Civil Hospital, Ghumarwin",1978255238,,chghumarwin@gmail.com,,
,Hospital,Himachal Pradesh,BILASPUR,"Community Health Centre, Bharari",1978273056,,bharari.chc@gmail.com,,
,Hospital,Himachal Pradesh,BILASPUR,"Community Health Centre, Jhanduta",1978272024,,chcjhandutta@gmail.com,,
,Hospital,Himachal Pradesh,BILASPUR,"Community Health Centre, Markand",1978286026,,chcmarkand@gmail.com,,
,Hospital,Himachal Pradesh,BILASPUR,"Community Health Centre, Naina Devi",9418462690,,chandelvipender@gmail.com,,
,Hospital,Himachal Pradesh,BILASPUR,"District Ayurvedic Hospital, Bilaspur",1978224031,,dahblphp@gmail.co,,
,Hospital,Himachal Pradesh,BILASPUR,"Regional Hospital, Bilaspur",1978222586,,rsbyblp@gmail.com,,
,Hospital,Himachal Pradesh,CHAMBA,Health Dental Multispeciality Oral Health Care,7018094768,,amit996676@gmail.com,,
,Hospital,Himachal Pradesh,CHAMBA,Rana Hospital,9816735411,,gauri26rana@gmail.com,,
,Hospital,Himachal Pradesh,CHAMBA,"Civil Hospital, Bharmour",1895225044,,dheerajgupta80@gmail.com,,
,Hospital,Himachal Pradesh,CHAMBA,"Civil Hospital, Kihar",9805971525,,anil_kumar2949@yahoo.com,,
,Hospital,Himachal Pradesh,CHAMBA,"Civil Hospital, Killar",1897242246,,bmokillar@gmail.com,,
,Hospital,Himachal Pradesh,CHAMBA,"Civil Hospital, Dalhousie",1899242125,,anilsharma9418479574@gmail.com,,
,Hospital,Himachal Pradesh,CHAMBA,"Civil Hospital, Tissa",1896227050,,bmotissa@gmail.com,,
,Hospital,Himachal Pradesh,CHAMBA,District Ayurvedic Hospital,9418053654,,dahchamba@gmail.com,,
,Hospital,Himachal Pradesh,CHAMBA,Pt Jawaharlal Nehru Government Medical College And Hospital,1899222392,,rana.madhu389@gmail.com,,
,Hospital,Himachal Pradesh,CHAMBA,"Referral Hospital, Chowari",9805754440,,mangeshwers@gmail.com,,
,Hospital,Himachal Pradesh,HAMIRPUR,Aastha Hospital,9418046262,,aasthahospital2007@gmail.com,,
,Hospital,Himachal Pradesh,HAMIRPUR,Aastha Maternity Hospital,8894997319,,aasthahospital2007@gmail.com,,
,Hospital,Himachal Pradesh,HAMIRPUR,"Thakur Nursing Home, Bhakreri",9418353295,,thakurnursinghome@gmail.com,,
,Hospital,Himachal Pradesh,HAMIRPUR,Parvati Hospital,8626903774,,parvatihospitaldasmal@gmail.com,,
,Hospital,Himachal Pradesh,HAMIRPUR,"Ayurvedic Hospital, Kadiar",9882328109,,nk436956@gmail.com,,
,Hospital,Himachal Pradesh,HAMIRPUR,"Civil Hospital, Bhoranj",9816144162,,bmobhoranj@gmail.com,,
,Hospital,Himachal Pradesh,HAMIRPUR,"Civil Hospital, Barsar",7876065794,,vandanakumari123@gmail.com,,
,Hospital,Himachal Pradesh,HAMIRPUR,"Civil Hospital, Naduan",1972232248,,nrhmnadaun.361@gmail.com,,
,Hospital,Himachal Pradesh,HAMIRPUR,"Civil Hospital, Sujanpur Tira",9816415711,,dikshasoni787@gmail.com,,
 ,Hospital,Himachal Pradesh,HAMIRPUR,"Civil Hospital, Tauni Devi",7018637416,,thakurviren98@gmail.com,,
,Hospital,Himachal Pradesh,HAMIRPUR,"Community Health Centre, Galore",9459336941,,bmogalore3@gmail.com,,
,Hospital,Himachal Pradesh,HAMIRPUR,"District Ayurvedic Hospital, Hamirpur",7018789139,,buntymadhu@gmail.com,,
,Hospital,Himachal Pradesh,HAMIRPUR,Dr Radha Krishnan Government Medical College And Hospital,8864635301,,ss7214527@gmail.com,,
,Hospital,Himachal Pradesh,HAMIRPUR,"Government Ayurvedic Hospital, Lambloo",9418852054,,dr.mukeshkumar2850@gmail.com,,
,Hospital,Himachal Pradesh,HAMIRPUR,Jain Muni Ayurvedic Manvi Hospital,9418200230,,dr.ankushsehgal18@gmail.com,,
,Hospital,Himachal Pradesh,KANGRA,Advance Diagnosic Centre & Multispeciality Hospital,9045025314,,sksadauto@gmail.com,,
,Hospital,Himachal Pradesh,KANGRA,Anand Hospital,9418111400,,sonalsharma1972@gmail.com,,
,Hospital,Himachal Pradesh,KANGRA,Ashok Memorial Hospital,8679147555,,ashokmemorialhospital@gmail.com,,
,Hospital,Himachal Pradesh,KANGRA,City Care Multispeciality Hospital,9816495861,,citycare.DHsala@gmail.com,,
,Hospital,Himachal Pradesh,KANGRA,Dr Neena Pahwa Hospital,8628854333,,drsumeetpahwa@gmail.com,,
,Hospital,Himachal Pradesh,KANGRA,Dr KDs Eye Hospital,7018448754,,hiteshdhar1985@gmail.com,,
,Hospital,Himachal Pradesh,KANGRA,J.V.R Eye Hospital,9418007829,,gauravnurpur@gmail.com,,
,Hospital,Himachal Pradesh,KANGRA,JVR Eye Hospital (Jawalaji),9418970878,,gauravnurpur@gmail.com,,
,Hospital,Himachal Pradesh,KANGRA,"Karan Hospital, Palampur",9805704423,,vinaymalhotra87@gmail.com,,
,Hospital,Himachal Pradesh,KANGRA,"Maple Leaf Hospital, Kangra",9418841248,,mapleleafhospital@gmail.com,,
,Hospital,Himachal Pradesh,KANGRA,Nav Jeevan Hospital,9805791751,,rkundu460@gmail.com,,
,Hospital,Himachal Pradesh,KANGRA,S M Eye Hospital,9816104471,,smihospitalkgr@gmail.com,,
,Hospital,Himachal Pradesh,KANGRA,Shree Balaji Hospital KANGRA,9459640797,,adm.sbhkangra@gmail.com,,
,Hospital,Himachal Pradesh,KANGRA,Surya Hospital,8894528888,,hospitalsurya@ymail.com,,
,Hospital,Himachal Pradesh,KANGRA,Vivekanand Medical Institute Palampur,9816788800,,palampur.vmi@gmail.com,,
,Hospital,Himachal Pradesh,KANGRA,"MMS Rotary Eye Hospital, Maranda",9418503900,,office@rotaryeyepalampur.org,,
,Hospital,Himachal Pradesh,KANGRA,Panchsheel Nursing Home,9805141994,,panchsheelnursinghome5@gmail.com,,
,Hospital,Himachal Pradesh,KANGRA,"Ayurvedic Hospital, Dehra",9816549274,,sdahrsby.dehra@gmail.com,,
,Hospital,Himachal Pradesh,KANGRA,"Ayurvedic Hospital, Harsar",8219486705,,anupam.ayu@gmail.com,,
,Hospital,Himachal Pradesh,KANGRA,"Ayurvedic Hospital, Paprola",1894242941,,swarajrana2012@live.com,,
,Hospital,Himachal Pradesh,KANGRA,"Civil Hospital, Dada Siba",1970289237,,bmodadasiba@yahoo.in,,
,Hospital,Himachal Pradesh,KANGRA,"Civil Hospital, Thural",9418676487,,thuralbmo@gmail.com,,
,Hospital,Himachal Pradesh,KANGRA,"Civil Hospital, Baijnath",1894262301,,smobaijnath@yahoo.com,,
,Hospital,Himachal Pradesh,KANGRA,"Civil Hospital, Bhawarna",1894247158,,khurena47@rediffmail.com,,
,Hospital,Himachal Pradesh,KANGRA,"Civil Hospital, Dehra",9999115107,,rsbydehra@gmail.com,,
,Hospital,Himachal Pradesh,KANGRA,"Civil Hospital, Fatehpur",9418461239,,bmofatehpur@yahoo.com,,
,Hospital,Himachal Pradesh,KANGRA,"Civil Hospital, Jawalamukhi",1970222337,,bmojwalamukhi@gmail.com,,
,Hospital,Himachal Pradesh,KANGRA,"Civil Hospital, Jawali",1893264252,,chcjawali@gmail.com,,
,Hospital,Himachal Pradesh,KANGRA,"Civil Hospital, Kangra",7018325188,,chkangra@gmail.com,,
,Hospital,Himachal Pradesh,KANGRA,"Civil Hospital, Nagrota Bagwan",9418017631,,devir7208@gmail.com,,
,Hospital,Himachal Pradesh,KANGRA,"Civil Hospital, Nurpur",8628046005,,ictcnurpur@gmail.com,,
,Hospital,Himachal Pradesh,KANGRA,"Civil Hospital, Palampur",1894234101,,ajaysood186@gmail.com,,
,Hospital,Himachal Pradesh,KANGRA,"Civil Hospital, Shahpur",9418079491,,bmoshahpur@yahoo.in,,
,Hospital,Himachal Pradesh,KANGRA,"Community Health Centre, Gopalpur",1894252226,,bmogopalpur@yahoo.in,,
,Hospital,Himachal Pradesh,KANGRA,"Community Health Centre, Indora",8894010069,,drvarun.sharma@gmail.com,,
,Hospital,Himachal Pradesh,KANGRA,"Community Health Centre, Nagrota Surian",9418394144,,bmochcngs@gmail.com,,
,Hospital,Himachal Pradesh,KANGRA,"Communty Health Centre, Chadiyar",8628862894,,kartikguleria75@gmail.com,,
,Hospital,Himachal Pradesh,KANGRA,"District Ayurvedic Hospital, Dharmshala",9418053619,,rsbydharamshala@gmail.com,,
,Hospital,Himachal Pradesh,KANGRA,"Dr Rajendra Prasad Government Medical College And Hospital, Tanda",1892287001,,medicalsupdt.tanda@gmail.com,,
,Hospital,Himachal Pradesh,KANGRA,Eye Mobile Unit,9418050314,,drsksharma78@yahoo.com,,
,Hospital,Himachal Pradesh,KANGRA,Halderkola Ayurvedic Hospital,7833032699,,DR.BHATIASUDHIR@GMAIL.COM,,
,Hospital,Himachal Pradesh,KANGRA,"Zonal Hospital, Dharamsala",7832040370,,zhdharamshala@gmail.com,,
,Hospital,Himachal Pradesh,KINNAUR,"Jindal Sanjeevani Hospital, Sholtu",9805970854,,karcham.hospital@jsw.in,,
,Hospital,Himachal Pradesh,KINNAUR,"Community Health Centre, Nichar",9569454545,,nichar@gmail.com,,
,Hospital,Himachal Pradesh,KINNAUR,"Community Health Centre, Pooh",9459039525,,bmopooh@gmail.com,,
,Hospital,Himachal Pradesh,KINNAUR,"Community Health Centre, Sangla",9418140282,,bmosangla@gmail.com,,
,Hospital,Himachal Pradesh,KINNAUR,"District Ayurvedic Hospital, Reckong Peo",9418058285,,drpksharmasnr@gmail.com,,
,Hospital,Himachal Pradesh,KINNAUR,"Project Hospital, Bhavanagar",9418885097,,bmonichar@gmail.com,,
,Hospital,Himachal Pradesh,KINNAUR,"Regional Hospital, Reckong Peo",7018939408,,smoreckongpeo@gmail.com,,
,Hospital,Himachal Pradesh,KULLU,Bhanoo Hospital,9459209072,,bhanoohospital@gmail.com,,
,Hospital,Himachal Pradesh,KULLU,Lady Willingdon Hospital,9816007240,,ladywillingdon.rsby@gmail.com,,
,Hospital,Himachal Pradesh,KULLU,Life Line Care Hospital,8219906582,,lifelinecarekullu@gmail.com,,
,Hospital,Himachal Pradesh,KULLU,Sapphire Health Care,7018789307,,mohdaasif.mk@gmail.com,,
,Hospital,Himachal Pradesh,KULLU,"SR Hospital, Kalheli",9816009111,,rakeshmgsr733@gmail.com,,
,Hospital,Himachal Pradesh,KULLU,"Ayurvedic Hospital, Katrai",9415687522,,katrai@gmail.com,,
,Hospital,Himachal Pradesh,KULLU,"Civil Hospital, Ani",1904253334,,chandresh908@gmail.com,,
,Hospital,Himachal Pradesh,KULLU,"Civil Hospital, Banjaar",1903222214,,shasnimohanlal@gmail.com,,
,Hospital,Himachal Pradesh,KULLU,"Civil Hospital, Jari",1902276257,,bmojari@gmail.com,,
,Hospital,Himachal Pradesh,KULLU,"Civil Hospital, Manali",9816070358,,dr.raj61272@gmail.com,,
,Hospital,Himachal Pradesh,KULLU,"Civil Hospital, Nirmand",9418168321,,bmonirmand@gmail.com,,
,Hospital,Himachal Pradesh,KULLU,District Ayurvedic Hospital,9418011033,,drjasbinder@gmail.com,,
,Hospital,Himachal Pradesh,KULLU,"Regional Hospital, Kullu",9418118018,,cmokullu@gmail.com,,
,Hospital,Himachal Pradesh,LAHUL AND SPITI,"Community Health Centre, Kaza",9459707272,,bmokaza@gmail.com,,
,Hospital,Himachal Pradesh,LAHUL AND SPITI,"Community Health Centre, Shansha",9418139922,,dr.pritamsharma@gmail.com,,
,Hospital,Himachal Pradesh,LAHUL AND SPITI,"Community Health Centre, Udaypur",7651086862,,draslove2gmail.com,,
,Hospital,Himachal Pradesh,LAHUL AND SPITI,"District Ayurvedic Hospital,Keylong",9459531633,,dao-lsp-hp@nic.in,,
,Hospital,Himachal Pradesh,LAHUL AND SPITI,"Primary Haelth Centre, Tabo",9418206208,,bmokaza@gmail.com,,
,Hospital,Himachal Pradesh,LAHUL AND SPITI,"Regional Hospital, Keylong",9418042950,,cmokeylong23@gmail.com,,
,Hospital,Himachal Pradesh,MANDI,Aastha Multispeciality Hospital,9816601916,,aasthamshospital@gmail.com,,
,Hospital,Himachal Pradesh,MANDI,Aditya Jyoti Eye Hospital,8262919390,,docadijerath@gmail.com,,
,Hospital,Himachal Pradesh,MANDI,Banga Associated Hospital Eye Care,9418407850,,munshiram1970@gmail.com,,
,Hospital,Himachal Pradesh,MANDI,Bhambla Multispeciality Hospital,8872530186,,manojdhiman515@gmail.com,,
,Hospital,Himachal Pradesh,MANDI,Jagriti Medical Centre,9816003020,,drmanjuljmc@gmail.com,,
,Hospital,Himachal Pradesh,MANDI,Jai Parksh Hospital Private Limited,7018651056,,hariharhospital@rediffmail.com,,
,Hospital,Himachal Pradesh,MANDI,KS Hospital,9418100831,,singhkb@hotmail.com,,
,Hospital,Himachal Pradesh,MANDI,Malhotra Hospital And Trauma Centre,8288849649,,navdeep.h.malhotra@gmail.com,,
,Hospital,Himachal Pradesh,MANDI,Mandav Hospital Unit of Banga Hospitals Pvt Ltd,9418280979,,bangadiagnostics@gmail.com,,
,Hospital,Himachal Pradesh,MANDI,Mannat Hospital,9418023131,,mannathsopital20@gmail.com,,
,Hospital,Himachal Pradesh,MANDI,Neelkanth Hospital,8872551999,,sahil57mrigpuri@gmail.com,,
,Hospital,Himachal Pradesh,MANDI,Sapphire Health Care,8219120426,,gianthakur03@gmail.com,,
,Hospital,Himachal Pradesh,MANDI,Bhanoo Hospital,8278729562,,kusumbhanoo1977@gmail.com,,
,Hospital,Himachal Pradesh,MANDI,Himachal Dental college,9418067210,,admin@hdc.ac.in,,
,Hospital,Himachal Pradesh,MANDI,"Ayurvedic Hospital, Joginder Nagar",9418724919,,amo.ic.jnr@gmail.com,,
,Hospital,Himachal Pradesh,MANDI,"Civil Hospital, Dharampur",7018375854,,mochdharampur@gmail.com,,
,Hospital,Himachal Pradesh,MANDI,"Civil Hospital, Gohar",94180251800,,moicchcgohas@yahoo.in,,
,Hospital,Himachal Pradesh,MANDI,"Civil Hospital, Janjali",1907256512,,bmojanjehlihp@yahoo.in,,
,Hospital,Himachal Pradesh,MANDI,"Civil Hospital, Joginder Nagar",8309593307,,smojnrmandi@gmail.com,,
,Hospital,Himachal Pradesh,MANDI,"Civil Hospital, Karsog",9736417870,,navitasharma026@gmail.com,,
,Hospital,Himachal Pradesh,MANDI,"Civil Hospital, Kotli",1905281231,,moicchckotli@yahoo.in,,
,Hospital,Himachal Pradesh,MANDI,"Civil Hospital, Padhar",1908260228,,moicchcpadhar@yahoo.co.in,,
,Hospital,Himachal Pradesh,MANDI,"Civil Hospital, Ratti",1905242296,,moicchcratti@yahoo.in,,
,Hospital,Himachal Pradesh,MANDI,"Civil Hospital, Sandole",1905273223,,smosndhole@yahoo.in,,
,Hospital,Himachal Pradesh,MANDI,"Civil Hospital, Sarkaghat",1905230036,,smosarkaghat@yahoo.in,,
,Hospital,Himachal Pradesh,MANDI,"Civil Hospital, Sunder Nagar",9459060969,,devinder.rsby55@gmail.com,,
,Hospital,Himachal Pradesh,MANDI,"Community Health Center, Kataula",8679119192,,vijenderchambyal555@gmail.com,,
,Hospital,Himachal Pradesh,MANDI,"Community Health Center, Ladbharol",9517813996,,bmoladbharol@gmail.com,,
,Hospital,Himachal Pradesh,MANDI,"Community Health Center, Nihri",9736417870,,chcnihri@gmail.com,,
,Hospital,Himachal Pradesh,MANDI,"Community Health Centre, Baldwara",9817650746,,moicchcbaldwara@yahoo.in,,
,Hospital,Himachal Pradesh,MANDI,"Community Health Centre, Nagwain",7018411054,,moicnagwain@gmail.com,,
,Hospital,Himachal Pradesh,MANDI,District Ayurvedic Hospital,9418008933,,asha.mnd11@gmail.com,,
,Hospital,Himachal Pradesh,MANDI,Netaji Subhash Chander Bose Zonal Hospital,8627973633,,zonalhospitalmandi@gmail.com,,
,Hospital,Himachal Pradesh,MANDI,"Primary Health Centre, Bhagshad",9418662911,,yadav.singh1984@gmail.com,,
